DATE,OPEN,HIGH,LOW,CLOSE
01/29/1993,12.100000,12.100000,12.100000,12.100000
02/01/1993,12.290000,12.290000,12.290000,12.290000
02/02/1993,11.720000,11.720000,11.720000,11.720000
02/03/1993,11.630000,11.630000,11.630000,11.630000
02/04/1993,12.360000,12.360000,12.360000,12.360000
02/05/1993,12.800000,12.800000,12.800000,12.800000
02/08/1993,13.090000,13.090000,13.090000,13.090000
02/09/1993,12.830000,12.830000,12.830000,12.830000
02/10/1993,13.400000,13.400000,13.400000,13.400000
02/11/1993,12.900000,12.900000,12.900000,12.900000
02/12/1993,12.810000,12.810000,12.810000,12.810000
02/16/1993,12.710000,12.710000,12.710000,12.710000
02/17/1993,15.900000,15.900000,15.900000,15.900000
02/18/1993,15.580000,15.580000,15.580000,15.580000
02/19/1993,15.100000,15.100000,15.100000,15.100000
02/22/1993,14.200000,14.200000,14.200000,14.200000
02/23/1993,14.280000,14.280000,14.280000,14.280000
02/24/1993,14.760000,14.760000,14.760000,14.760000
02/25/1993,14.480000,14.480000,14.480000,14.480000
02/26/1993,13.760000,13.760000,13.760000,13.760000
03/01/1993,12.750000,12.750000,12.750000,12.750000
03/02/1993,12.930000,12.930000,12.930000,12.930000
03/03/1993,12.360000,12.360000,12.360000,12.360000
03/04/1993,12.500000,12.500000,12.500000,12.500000
03/05/1993,13.340000,13.340000,13.340000,13.340000
03/08/1993,13.170000,13.170000,13.170000,13.170000
03/09/1993,14.850000,14.850000,14.850000,14.850000
03/10/1993,13.870000,13.870000,13.870000,13.870000
03/11/1993,12.980000,12.980000,12.980000,12.980000
03/12/1993,14.120000,14.120000,14.120000,14.120000
03/15/1993,14.680000,14.680000,14.680000,14.680000
03/16/1993,14.870000,14.870000,14.870000,14.870000
03/17/1993,14.710000,14.710000,14.710000,14.710000
03/18/1993,15.370000,15.370000,15.370000,15.370000
03/19/1993,14.590000,14.590000,14.590000,14.590000
03/22/1993,13.930000,13.930000,13.930000,13.930000
03/23/1993,13.750000,13.750000,13.750000,13.750000
03/24/1993,13.520000,13.520000,13.520000,13.520000
03/25/1993,13.250000,13.250000,13.250000,13.250000
03/26/1993,12.870000,12.870000,12.870000,12.870000
03/29/1993,13.360000,13.360000,13.360000,13.360000
03/30/1993,13.220000,13.220000,13.220000,13.220000
03/31/1993,13.130000,13.130000,13.130000,13.130000
04/01/1993,13.570000,13.570000,13.570000,13.570000
04/02/1993,14.400000,14.400000,14.400000,14.400000
04/05/1993,15.510000,15.510000,15.510000,15.510000
04/06/1993,14.490000,14.490000,14.490000,14.490000
04/07/1993,14.720000,14.720000,14.720000,14.720000
