ex_date,distribution
2011-03-18,0.553320
2011-06-17,0.627620
2011-09-16,0.624954
2011-12-16,0.770130
2012-03-16,0.613890
2012-06-15,0.688260
2012-09-21,0.779450
2012-12-21,1.021830
2013-03-15,0.693720
2013-06-21,0.839120
2013-09-20,0.837950
2013-12-20,0.980250
2014-03-21,0.824610
2014-06-20,0.936690
2014-09-19,0.939190
2014-12-19,1.134920
2015-03-20,0.930810
2015-06-19,1.030070
2015-09-18,1.033430
2015-12-18,1.211550
2016-03-18,1.049604
2016-06-17,1.078442
2016-09-16,1.082068
2016-12-16,1.328930
2017-03-17,1.033118
2017-06-16,1.183108
2017-09-15,1.234574
2017-12-15,1.351333
2018-03-16,1.096775
2018-06-15,1.245568
2018-09-21,1.322611
2018-12-21,1.435429
2019-03-15,1.233119
2019-06-21,1.431640
2019-09-20,1.383619
2019-12-20,1.569992
2020-03-20,1.405559
2020-06-19,1.366242
2020-09-18,1.339224
2020-12-18,1.580000
